Latitude,Longitude,Elevation,X,Y,Z
34.703773,-120.359387,216.9723206,1,39,-43.65472986
34.703773,-120.358387,260.6818848,1,40,-52.44907382
34.703773,-120.357387,273.8453064,1,41,-55.09754813
34.703773,-120.356387,264.9367981,1,42,-53.3051604
34.703773,-120.355387,284.481842,1,43,-57.23761414
34.703773,-120.354387,299.390625,1,44,-60.23725433
34.703773,-120.353387,301.096283,1,45,-60.58043192
34.703773,-120.352387,292.6428223,1,46,-58.87959957
34.703773,-120.351387,317.2678223,1,47,-63.8341381
34.703773,-120.350387,302.2992249,1,48,-60.82246327
34.703773,-120.349387,236.5533905,1,49,-47.59443201
34.703773,-120.348387,257.2546692,1,50,-51.75951965
34.703773,-120.347387,294.6503906,1,51,-59.28352138
34.703773,-120.346387,293.9608459,1,52,-59.14478532
34.703773,-120.345387,287.947937,1,53,-57.93499084
34.703773,-120.344387,283.6654358,1,54,-57.07335359
34.703773,-120.343387,262.265686,1,55,-52.7677339
34.703773,-120.342387,312.5570068,1,56,-62.88632423
34.703773,-120.341387,317.5113525,1,57,-63.88313628
34.703773,-120.340387,319.6290894,1,58,-64.30922394
34.703773,-120.339387,324.8620911,1,59,-65.36210144
34.703773,-120.338387,330.7156372,1,60,-66.5398322
34.703773,-120.337387,336.1193542,1,61,-67.62705756
34.703773,-120.336387,344.3192139,1,62,-69.27686549
34.703773,-120.335387,361.4067383,1,63,-72.71486745
34.703773,-120.334387,386.6630554,1,64,-77.79642669
34.703773,-120.333387,416.4867859,1,65,-83.79694738
34.703773,-120.332387,442.1863403,1,66,-88.96768576
34.703773,-120.331387,446.6034851,1,67,-89.85641324
34.703773,-120.330387,410.9990234,1,68,-82.69281213
34.703773,-120.329387,396.5406189,1,69,-79.78378787
34.703773,-120.328387,422.2471619,1,70,-84.95593234
34.703773,-120.327387,375.7845764,1,71,-75.60768178
34.703773,-120.326387,354.6674194,1,72,-71.35891963
34.703773,-120.325387,363.1713867,1,73,-73.06991389
34.703773,-120.324387,403.8419189,1,74,-81.25280604
34.703773,-120.323387,403.5121155,1,75,-81.18644973
34.703773,-120.322387,385.2865601,1,76,-77.51947647
34.703773,-120.321387,386.5127258,1,77,-77.76618045
34.703773,-120.320387,406.7879028,1,78,-81.84553662
34.703773,-120.319387,437.0519104,1,79,-87.93464085
34.703773,-120.318387,410.0397034,1,80,-82.49979738
34.703773,-120.317387,429.4795227,1,81,-86.41107997
34.703773,-120.316387,387.7210388,1,82,-78.00929246
34.703773,-120.315387,422.7348022,1,83,-85.05404536
34.703773,-120.314387,429.656311,1,84,-86.4466497
34.703773,-120.313387,406.3050537,1,85,-81.7483876
34.703773,-120.312387,450.4825745,1,86,-90.63688421
34.703773,-120.311387,439.9468384,1,87,-88.51709901
34.703773,-120.310387,408.4025269,1,88,-82.17039822
34.703773,-120.309387,406.0227356,1,89,-81.69158533
34.703773,-120.308387,412.5631409,1,90,-83.00751183
34.703773,-120.307387,439.6561279,1,91,-88.45860821
34.703773,-120.306387,426.5094604,1,92,-85.81350483
34.703773,-120.305387,414.4003601,1,93,-83.37715948
34.703773,-120.304387,419.8893738,1,94,-84.48154648
34.703773,-120.303387,460.2732849,1,95,-92.60677059
34.703773,-120.302387,469.730072,1,96,-94.50947175
34.703773,-120.301387,489.5379028,1,97,-98.49479809
34.703773,-120.300387,468.807312,1,98,-94.32381287
34.703773,-120.299387,461.6591492,1,99,-92.88560583
34.702773,-120.398387,183.431366,2,0,-36.90630541
34.702773,-120.397387,189.5384827,2,1,-38.13505445
